tissue	outcome	avi_quintile	tested	observed	expected	observed_expected	ci_low	ci_high
Brain_Spinal_cord_cervical_c-1	finemapped	2	1780545	75	86.061	0.871475	0.628799	1.14293
Brain_Spinal_cord_cervical_c-1	finemapped	3	1807750	149	169.476	0.879182	0.740234	1.0402
Brain_Spinal_cord_cervical_c-1	finemapped	4	1985406	330	306.883	1.07533	0.967165	1.18192
Brain_Spinal_cord_cervical_c-1	finemapped	5	1724638	506	487.011	1.03899	0.964289	1.10724
Brain_Substantia_nigra	eqtl	1	1928128	7486	10651.1	0.702837	0.4326	0.953279
Brain_Substantia_nigra	eqtl	2	1776748	10879	19767.7	0.550342	0.424099	0.683581
Brain_Substantia_nigra	eqtl	3	1807287	33771	29815.4	1.13267	0.844731	1.40058
Brain_Substantia_nigra	eqtl	4	1985402	55252	47487.6	1.1635	1.05934	1.26398
Brain_Substantia_nigra	eqtl	5	1724480	65620	65286.2	1.00511	0.868119	1.15849
Brain_Substantia_nigra	lead	1	1928128	95	153.794	0.61771	0.499099	0.749723
Brain_Substantia_nigra	lead	2	1776748	206	290.152	0.709972	0.607363	0.812394
Brain_Substantia_nigra	lead	3	1807287	414	456.727	0.906449	0.811198	1.01238
Brain_Substantia_nigra	lead	4	1985402	783	747.627	1.04731	0.978609	1.11986
